scenario_name,total_surgeries,num_surgeons,num_days,num_ors,successful_surgeries,unscheduled_surgeries_ids,unscheduled_reason,runtime_sec,optimization_status
surg_3_days_4_ors_3,50,3,4,3,33,"[1, 35, 4, 36, 37, 40, 41, 42, 43, 13, 14, 15, 48, 20, 21, 26, 30]",Not selected by optimizer (due to resource constraints or optionality),1.0533790588378906,Optimal
surg_3_days_4_ors_4,50,3,4,4,34,"[32, 33, 2, 38, 39, 41, 10, 43, 45, 48, 49, 21, 22, 25, 27, 31]",Not selected by optimizer (due to resource constraints or optionality),1.0559160709381104,Optimal
surg_3_days_4_ors_5,50,3,4,5,40,"[32, 3, 35, 45, 14, 15, 49, 19, 30, 31]",Not selected by optimizer (due to resource constraints or optionality),0.9578418731689453,Optimal
surg_3_days_4_ors_6,50,3,4,6,38,"[2, 36, 43, 13, 46, 15, 16, 47, 49, 20, 22, 28]",Not selected by optimizer (due to resource constraints or optionality),0.9725208282470703,Optimal
surg_3_days_4_ors_7,50,3,4,7,38,"[32, 5, 37, 40, 9, 10, 41, 42, 45, 48, 49, 20]",Not selected by optimizer (due to resource constraints or optionality),1.1468939781188965,Optimal
surg_3_days_5_ors_3,50,3,5,3,42,"[37, 41, 43, 12, 17, 19, 21, 27]",Not selected by optimizer (due to resource constraints or optionality),1.0330440998077393,Optimal
surg_3_days_5_ors_4,50,3,5,4,48,"[9, 4]",Not selected by optimizer (due to resource constraints or optionality),0.9840881824493408,Optimal
surg_3_days_5_ors_5,50,3,5,5,47,"[1, 10, 43]",Not selected by optimizer (due to resource constraints or optionality),0.9912889003753662,Optimal
surg_3_days_5_ors_6,50,3,5,6,46,"[49, 44, 45, 7]",Not selected by optimizer (due to resource constraints or optionality),0.9679231643676758,Optimal
surg_3_days_5_ors_7,50,3,5,7,46,"[1, 42, 44, 22]",Not selected by optimizer (due to resource constraints or optionality),0.9820711612701416,Optimal
surg_3_days_6_ors_3,50,3,6,3,47,"[49, 44, 46]",Not selected by optimizer (due to resource constraints or optionality),1.0436029434204102,Optimal
surg_3_days_6_ors_4,50,3,6,4,43,"[3, 36, 42, 12, 48, 17, 19]",Not selected by optimizer (due to resource constraints or optionality),1.1601243019104004,Optimal
surg_3_days_6_ors_5,50,3,6,5,50,[],N/A,1.1940889358520508,Optimal
surg_3_days_6_ors_6,50,3,6,6,50,[],N/A,1.1835951805114746,Optimal
surg_3_days_6_ors_7,50,3,6,7,46,"[33, 42, 49, 41]",Not selected by optimizer (due to resource constraints or optionality),1.0303549766540527,Optimal
surg_3_days_7_ors_3,50,3,7,3,46,"[16, 24, 27, 49]",Not selected by optimizer (due to resource constraints or optionality),1.1457569599151611,Optimal
surg_3_days_7_ors_4,50,3,7,4,50,[],N/A,1.1758153438568115,Optimal
surg_3_days_7_ors_5,50,3,7,5,48,"[25, 3]",Not selected by optimizer (due to resource constraints or optionality),1.1235480308532715,Optimal
surg_3_days_7_ors_6,50,3,7,6,48,"[2, 30]",Not selected by optimizer (due to resource constraints or optionality),1.1408100128173828,Optimal
surg_3_days_7_ors_7,50,3,7,7,50,[],N/A,1.1595063209533691,Optimal
surg_4_days_4_ors_3,50,4,4,3,36,"[4, 36, 7, 9, 41, 42, 43, 45, 46, 49, 18, 21, 30, 31]",Not selected by optimizer (due to resource constraints or optionality),0.9628570079803467,Optimal
surg_4_days_4_ors_4,50,4,4,4,41,"[32, 38, 43, 47, 18, 23, 27, 28, 31]",Not selected by optimizer (due to resource constraints or optionality),0.9890620708465576,Optimal
surg_4_days_4_ors_5,50,4,4,5,41,"[44, 14, 46, 47, 49, 22, 23, 25, 29]",Not selected by optimizer (due to resource constraints or optionality),0.9872531890869141,Optimal
surg_4_days_4_ors_6,50,4,4,6,44,"[4, 6, 13, 14, 15, 31]",Not selected by optimizer (due to resource constraints or optionality),0.9769783020019531,Optimal
